                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.92707,                0.62853,                 1.1207,                0.99312,                 0.7951,                 1.1043,                0.85418,                0.89189,                0.91898,                 0.5629,                 1.4327,                0.73767,                  1.607,                 1.4492,                 1.1699,                 1.6303,             0.00021471,             0.00021471,             0.00021471
                     91,                0.76142,                0.52113,                 1.0446,                0.77765,                0.80664,                 1.0431,                0.86078,                   0.85,                0.90515,                0.57578,                 1.4136,                0.76111,                 1.5781,                 1.4493,                 1.1899,                 1.6128,             0.00019821,             0.00019821,             0.00019821
                     92,                0.80612,                0.51785,                 1.0613,                   0.82,                0.81393,                 1.0684,                0.79998,                0.82212,                0.88867,                0.53861,                 1.4777,                0.88137,                 1.6311,                  1.512,                 1.3031,                 1.6648,              0.0001817,              0.0001817,              0.0001817
                     93,                0.77277,                0.48068,                 1.0485,                0.78949,                 0.7642,                 1.0597,                0.84608,                  0.925,                0.91931,                0.56765,                 1.4178,                0.82298,                 1.5941,                 1.4615,                 1.1805,                 1.6299,              0.0001652,              0.0001652,              0.0001652
                     94,                0.75939,                0.49583,                 1.0393,                0.76293,                0.77047,                 1.0509,                0.92787,                0.91883,                0.96929,                 0.6099,                 1.3725,                 0.7099,                  1.586,                 1.4065,                 1.0131,                 1.6231,              0.0001487,              0.0001487,              0.0001487
                     95,                0.73497,                0.48174,                 1.0541,                0.75801,                0.75484,                 1.0691,                 0.8937,                0.93362,                0.96782,                 0.6048,                 1.3628,                0.69464,                 1.5828,                 1.3717,                 1.0199,                 1.5914,             0.00013219,             0.00013219,             0.00013219
                     96,                0.76233,                 0.4596,                  1.032,                0.78537,                0.72194,                 1.0424,                0.91679,                0.95998,                 0.9712,                 0.6043,                 1.3758,                0.69318,                  1.585,                 1.4065,                0.99773,                 1.6143,             0.00011569,             0.00011569,             0.00011569
                     97,                0.76489,                0.46571,                 1.0471,                0.79306,                0.74223,                 1.0638,                0.93283,                0.93533,                 0.9717,                0.60582,                 1.3804,                0.70394,                 1.5953,                 1.4093,                0.98845,                 1.6152,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.7153,                0.45222,                 1.0191,                0.71857,                 0.6898,                 1.0307,                0.92125,                0.95693,                0.96739,                0.59439,                 1.3885,                0.70965,                 1.6075,                  1.411,                 1.0012,                  1.614,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.70678,                0.44169,                 1.0242,                 0.7299,                0.68724,                 1.0346,                0.93072,                0.95656,                0.96978,                0.59493,                 1.3979,                0.70506,                 1.6269,                 1.4116,                 1.0003,                 1.6238,              6.618e-05,              6.618e-05,              6.618e-05
